State,City,Airport,LocID,"Ownership","Svc Lvl","Hub","Role","Enplaned","Based Aircraft","Development Estimate 2025-2029"
Alaska,Koyukuk,Koyukuk,KYU,PU,GA,,Basic,792,0,"10,000,000"
Alaska,Kwethluk,Kwethluk,KWT,PU,CS,,Basic,"2,614",0,"349,654"
Alaska,Kwigillingok,Kwigillingok,GGV,PU,GA,,Basic,"2,241",0,"53,725,700"
Alaska,Lake Louise,Lake Louise,Z55,PU,GA,,Basic,0,0,"4,350,000"
Alaska,Lake Minchumina,Minchumina,MHM,PU,GA,,Basic,192,2,"950,000"
Alaska,Larsen Bay,Larsen Bay,2A3,PU,CS,,Local,"2,760",0,"8,085,000"
Alaska,Levelock,Levelock,9Z8,PU,GA,,Basic,312,0,"3,500,000"
Alaska,Lime Village,Lime Village,2AK,PU,GA,,Basic,57,0,0
Alaska,Manley Hot Springs,Manley Hot Springs,MLY,PU,GA,,Basic,74,5,"6,204,195"
Alaska,Manokotak,Manokotak,MBA,PU,GA,,Basic,"1,486",0,"8,225,000"
Alaska,Marshall,Marshall Don Hunter Sr,MDM,PU,CS,,Basic,"2,514",0,"800,000"
Alaska,Matanuska-Susitna (Borough),Goose Bay,Z40,PU,GA,,Unclassified,0,0,0
Alaska,May Creek,May Creek,MYK,PU,GA,,Basic,45,0,0
Alaska,McCarthy,McCarthy,15Z,PU,GA,,Unclassified,122,0,0
Alaska,McGrath,McGrath,MCG,PU,CS,,Local,"2,575",28,"2,508,691"
Alaska,Mekoryuk,Mekoryuk,MYU,PU,GA,,Basic,"1,180",0,"31,435,693"
Alaska,Metlakatla,Metlakatla,MTM,PU,GA,,Basic,493,0,"3,200,000"
Alaska,Minto,Minto Al Wright,51Z,PU,GA,,Basic,184,0,"2,890,000"
Alaska,Mountain Village,Mountain Village,MOU,PU,CS,,Basic,"3,048",0,"14,990,000"
Alaska,Naknek,Naknek,5NK,PU,GA,,Basic,3,33,"10,000,000"
Alaska,Napakiak,Napakiak,WNA,PU,GA,,Basic,"1,513",0,"17,240,000"
Alaska,Napaskiak,Napaskiak,PKA,PU,GA,,Basic,"1,117",0,"47,075,168"
Alaska,Nelson Lagoon,Nelson Lagoon,OUL,PU,GA,,Basic,287,1,"4,817,504"
Alaska,Nenana,Nenana Municipal,ENN,PU,GA,,Local,3,19,"4,405,477"
Alaska,New Stuyahok,New Stuyahok,KNW,PU,GA,,Basic,"1,758",0,0
Alaska,Newtok,Mertarvik,EWU,PU,GA,,Basic,"1,696",0,"360,654"
Alaska,Nightmute,Nightmute,IGT,PU,GA,,Basic,"1,225",0,"425,000"
Alaska,Nikolai,Nikolai,FSP,PU,GA,,Basic,"1,628",0,"5,925,000"
Alaska,Noatak,Noatak,WTK,PU,CS,,Local,"3,698",0,"327,206"
Alaska,Nome,Nome,OME,PU,P,N,,"66,883",68,"10,540,894"
Alaska,Nondalton,Nondalton,5NN,PU,GA,,Basic,"1,197",0,"18,120,000"
Alaska,Noorvik,Robert /Bob/ Curtis Memorial,D76,PU,CS,,Local,"3,410",0,"1,103,333"
Alaska,North Slope (Borough),Galbraith Lake,GBH,PU,GA,,Basic,688,0,0
Alaska,North Whale Pass,Whale Pass Seaplane Float Harbor Facility,96Z,PU,GA,,Basic,3,0,"2,500,000"
Alaska,Northway,Northway,ORT,PU,GA,,Basic,0,0,"13,490,000"
Alaska,Nuiqsut,Nuiqsut,AQT,PU,GA,,Basic,"2,355",0,"10,603,500"
Alaska,Nulato,Nulato,NUL,PU,GA,,Basic,"2,408",0,"3,200,000"
Alaska,Nunapitchuk,Nunapitchuk,16A,PU,CS,,Basic,"2,845",0,"12,000,000"
Alaska,Old Harbor,Old Harbor,6R7,PU,GA,,Basic,"2,196",0,"1,660,000"
Alaska,Ophir,Ophir,Z17,PU,GA,,Unclassified,0,0,0
Alaska,Ouzinkie,Ouzinkie,4K5,PU,GA,,Basic,"1,190",0,"3,785,000"
Alaska,Palmer,"Warren ""Bud"" Woods Palmer Municipal",PAQ,PU,GA,,Local,2,134,"13,158,459"
Alaska,Pedro Bay,Pedro Bay,4K0,PU,GA,,Basic,598,1,"9,104,999"
Alaska,Pelican,Pelican,PEC,PU,GA,,Basic,"1,227",0,"1,000,000"
Alaska,Perryville,Perryville,PEV,PU,GA,,Basic,474,3,"6,700,000"
Alaska,Petersburg,Lloyd R Roundtree Seaplane Facility,63A,PU,GA,,Unclassified,0,4,0
Alaska,Petersburg,Petersburg James A Johnson,PSG,PU,P,N,,"24,921",12,"3,721,053"
Alaska,Pilot Point,Pilot Point,PNP,PU,GA,,Basic,417,3,"6,290,000"
